[16:56:51] [INFO] --- Logger Initialized ---
[16:56:51] [INFO] Virtual CAN Bus Simulator started successfully.
[16:56:57] TX ID: 0x101 DLC: 2 Data: 03 52 
[16:56:57] TX ID: 0x102 DLC: 2 Data: 14 01 
[16:56:57] TX ID: 0x201 DLC: 2 Data: 00 00 
[16:56:57] TX ID: 0x101 DLC: 2 Data: 03 84 
[16:56:57] TX ID: 0x102 DLC: 2 Data: 14 03 
[16:56:57] TX ID: 0x201 DLC: 2 Data: 00 00 
[16:56:57] TX ID: 0x101 DLC: 2 Data: 03 B6 
[16:56:57] TX ID: 0x102 DLC: 2 Data: 14 04 
[16:56:57] TX ID: 0x101 DLC: 2 Data: 03 E8 
[16:56:57] TX ID: 0x102 DLC: 2 Data: 14 06 
[16:56:58] TX ID: 0x201 DLC: 2 Data: 00 00 
[16:56:58] TX ID: 0x101 DLC: 2 Data: 04 1A 
[16:56:58] TX ID: 0x102 DLC: 2 Data: 14 07 
[16:56:58] TX ID: 0x101 DLC: 2 Data: 04 4C 
[16:56:58] TX ID: 0x102 DLC: 2 Data: 14 09 
[16:56:58] TX ID: 0x201 DLC: 2 Data: 00 00 
[16:56:58] TX ID: 0x101 DLC: 2 Data: 04 7E 
[16:56:58] TX ID: 0x102 DLC: 2 Data: 14 0A 
[16:56:58] TX ID: 0x101 DLC: 2 Data: 04 B0 
[16:56:58] TX ID: 0x102 DLC: 2 Data: 14 0C 
[16:56:58] TX ID: 0x201 DLC: 2 Data: 00 00 
[16:56:58] TX ID: 0x101 DLC: 2 Data: 04 E2 
[16:56:58] TX ID: 0x102 DLC: 2 Data: 14 0D 
[16:56:58] TX ID: 0x101 DLC: 2 Data: 05 14 
[16:56:58] TX ID: 0x102 DLC: 2 Data: 15 0F 
[16:56:58] TX ID: 0x201 DLC: 2 Data: 00 00 
[16:56:58] TX ID: 0x101 DLC: 2 Data: 05 46 
[16:56:58] TX ID: 0x102 DLC: 2 Data: 15 10 
[16:56:58] TX ID: 0x101 DLC: 2 Data: 05 78 
[16:56:58] TX ID: 0x102 DLC: 2 Data: 15 12 
[16:56:58] TX ID: 0x201 DLC: 2 Data: 00 00 
[16:56:58] TX ID: 0x101 DLC: 2 Data: 05 AA 
[16:56:58] TX ID: 0x102 DLC: 2 Data: 15 13 
[16:56:59] TX ID: 0x101 DLC: 2 Data: 05 DC 
[16:56:59] TX ID: 0x102 DLC: 2 Data: 15 15 
[16:56:59] TX ID: 0x201 DLC: 2 Data: 00 00 
[16:56:59] TX ID: 0x101 DLC: 2 Data: 06 0E 
[16:56:59] TX ID: 0x102 DLC: 2 Data: 15 16 
[16:56:59] TX ID: 0x101 DLC: 2 Data: 06 40 
[16:56:59] TX ID: 0x102 DLC: 2 Data: 15 18 
[16:56:59] TX ID: 0x201 DLC: 2 Data: 00 00 
[16:56:59] TX ID: 0x101 DLC: 2 Data: 06 72 
[16:56:59] TX ID: 0x102 DLC: 2 Data: 15 19 
[16:56:59] TX ID: 0x201 DLC: 2 Data: 00 00 
[16:56:59] TX ID: 0x101 DLC: 2 Data: 06 A4 
[16:56:59] TX ID: 0x102 DLC: 2 Data: 15 1B 
[16:56:59] TX ID: 0x101 DLC: 2 Data: 06 D6 
[16:56:59] TX ID: 0x102 DLC: 2 Data: 15 1C 
[16:56:59] TX ID: 0x201 DLC: 2 Data: 00 00 
[16:56:59] TX ID: 0x101 DLC: 2 Data: 07 08 
[16:56:59] TX ID: 0x102 DLC: 2 Data: 16 1E 
[16:56:59] TX ID: 0x101 DLC: 2 Data: 07 3A 
[16:56:59] TX ID: 0x102 DLC: 2 Data: 16 1F 
[16:56:59] TX ID: 0x201 DLC: 2 Data: 00 00 
[16:56:59] TX ID: 0x101 DLC: 2 Data: 07 6C 
[16:56:59] TX ID: 0x102 DLC: 2 Data: 16 21 
[16:57:00] TX ID: 0x101 DLC: 2 Data: 07 9E 
[16:57:00] TX ID: 0x102 DLC: 2 Data: 16 22 
[16:57:00] TX ID: 0x201 DLC: 2 Data: 00 00 
[16:57:00] TX ID: 0x101 DLC: 2 Data: 07 D0 
[16:57:00] TX ID: 0x102 DLC: 2 Data: 16 24 
[16:57:00] TX ID: 0x101 DLC: 2 Data: 08 02 
[16:57:00] TX ID: 0x102 DLC: 2 Data: 16 25 
[16:57:00] TX ID: 0x201 DLC: 2 Data: 00 00 
[16:57:00] TX ID: 0x101 DLC: 2 Data: 08 34 
[16:57:00] TX ID: 0x102 DLC: 2 Data: 16 27 
[16:57:00] TX ID: 0x101 DLC: 2 Data: 08 66 
[16:57:00] TX ID: 0x102 DLC: 2 Data: 16 28 
[16:57:00] TX ID: 0x201 DLC: 2 Data: 00 00 
[16:57:00] TX ID: 0x101 DLC: 2 Data: 08 98 
[16:57:00] TX ID: 0x102 DLC: 2 Data: 16 2A 
[16:57:00] TX ID: 0x201 DLC: 2 Data: 00 00 
[16:57:00] TX ID: 0x101 DLC: 2 Data: 08 CA 
[16:57:00] TX ID: 0x102 DLC: 2 Data: 16 2B 
[16:57:00] TX ID: 0x101 DLC: 2 Data: 08 FC 
[16:57:00] TX ID: 0x102 DLC: 2 Data: 17 2D 
[16:57:00] TX ID: 0x201 DLC: 2 Data: 00 00 
[16:57:00] TX ID: 0x101 DLC: 2 Data: 09 2E 
[16:57:00] TX ID: 0x102 DLC: 2 Data: 17 2E 
[16:57:01] TX ID: 0x101 DLC: 2 Data: 09 60 
[16:57:01] TX ID: 0x102 DLC: 2 Data: 17 30 
[16:57:01] TX ID: 0x201 DLC: 2 Data: 00 00 
[16:57:01] TX ID: 0x101 DLC: 2 Data: 09 92 
[16:57:01] TX ID: 0x102 DLC: 2 Data: 17 31 
[16:57:01] TX ID: 0x101 DLC: 2 Data: 09 C4 
[16:57:01] TX ID: 0x102 DLC: 2 Data: 17 33 
[16:57:01] TX ID: 0x201 DLC: 2 Data: 00 00 
[16:57:01] TX ID: 0x101 DLC: 2 Data: 09 F6 
[16:57:01] TX ID: 0x102 DLC: 2 Data: 17 34 
[16:57:01] TX ID: 0x101 DLC: 2 Data: 0A 28 
[16:57:01] TX ID: 0x102 DLC: 2 Data: 17 36 
[16:57:01] TX ID: 0x201 DLC: 2 Data: 00 00 
[16:57:01] TX ID: 0x101 DLC: 2 Data: 0A 5A 
[16:57:01] TX ID: 0x102 DLC: 2 Data: 17 37 
[16:57:01] TX ID: 0x101 DLC: 2 Data: 0A 8C 
[16:57:01] TX ID: 0x102 DLC: 2 Data: 17 39 
[16:57:01] TX ID: 0x201 DLC: 2 Data: 00 00 
[16:57:01] TX ID: 0x101 DLC: 2 Data: 0A BE 
[16:57:01] TX ID: 0x102 DLC: 2 Data: 17 3A 
[16:57:01] TX ID: 0x201 DLC: 2 Data: 00 00 
[16:57:01] TX ID: 0x101 DLC: 2 Data: 0A F0 
[16:57:01] TX ID: 0x102 DLC: 2 Data: 18 3C 
[16:57:02] TX ID: 0x101 DLC: 2 Data: 0B 22 
[16:57:02] TX ID: 0x102 DLC: 2 Data: 18 3D 
[16:57:02] TX ID: 0x201 DLC: 2 Data: 00 00 
[16:57:02] TX ID: 0x101 DLC: 2 Data: 0B 54 
[16:57:02] TX ID: 0x102 DLC: 2 Data: 18 3F 
[16:57:02] TX ID: 0x101 DLC: 2 Data: 0B 86 
[16:57:02] TX ID: 0x102 DLC: 2 Data: 18 40 
[16:57:02] TX ID: 0x201 DLC: 2 Data: 00 00 
[16:57:02] TX ID: 0x101 DLC: 2 Data: 0B B8 
[16:57:02] TX ID: 0x102 DLC: 2 Data: 18 42 
[16:57:02] TX ID: 0x101 DLC: 2 Data: 0B EA 
[16:57:02] TX ID: 0x102 DLC: 2 Data: 18 43 
[16:57:02] TX ID: 0x201 DLC: 2 Data: 00 00 
[16:57:02] TX ID: 0x101 DLC: 2 Data: 0C 1C 
[16:57:02] TX ID: 0x102 DLC: 2 Data: 18 45 
[16:57:02] TX ID: 0x101 DLC: 2 Data: 0C 4E 
[16:57:02] TX ID: 0x102 DLC: 2 Data: 18 46 
[16:57:02] TX ID: 0x201 DLC: 2 Data: 00 00 
[16:57:02] TX ID: 0x101 DLC: 2 Data: 0C 80 
[16:57:02] TX ID: 0x102 DLC: 2 Data: 18 48 
[16:57:02] TX ID: 0x101 DLC: 2 Data: 0C B2 
[16:57:02] TX ID: 0x102 DLC: 2 Data: 18 49 
[16:57:02] TX ID: 0x201 DLC: 2 Data: 00 00 
[16:57:03] TX ID: 0x101 DLC: 2 Data: 0C E4 
[16:57:03] TX ID: 0x102 DLC: 2 Data: 19 4B 
[16:57:03] TX ID: 0x101 DLC: 2 Data: 0D 16 
[16:57:03] TX ID: 0x102 DLC: 2 Data: 19 4C 
[16:57:03] TX ID: 0x201 DLC: 2 Data: 00 00 
[16:57:03] TX ID: 0x101 DLC: 2 Data: 0D 48 
[16:57:03] TX ID: 0x102 DLC: 2 Data: 19 4E 
[16:57:03] TX ID: 0x201 DLC: 2 Data: 00 00 
[16:57:03] TX ID: 0x101 DLC: 2 Data: 0D 7A 
[16:57:03] TX ID: 0x102 DLC: 2 Data: 19 4F 
[16:57:03] TX ID: 0x101 DLC: 2 Data: 0D AC 
[16:57:03] TX ID: 0x102 DLC: 2 Data: 19 51 
[16:57:03] TX ID: 0x201 DLC: 2 Data: 00 00 
[16:57:03] TX ID: 0x101 DLC: 2 Data: 0D DE 
[16:57:03] TX ID: 0x102 DLC: 2 Data: 19 52 
[16:57:03] TX ID: 0x101 DLC: 2 Data: 0E 10 
[16:57:03] TX ID: 0x102 DLC: 2 Data: 19 54 
[16:57:03] TX ID: 0x201 DLC: 2 Data: 00 00 
[16:57:03] TX ID: 0x101 DLC: 2 Data: 0E 42 
[16:57:03] TX ID: 0x102 DLC: 2 Data: 19 55 
[16:57:03] TX ID: 0x101 DLC: 2 Data: 0E 74 
[16:57:03] TX ID: 0x102 DLC: 2 Data: 19 57 
[16:57:03] TX ID: 0x201 DLC: 2 Data: 00 00 
[16:57:04] TX ID: 0x101 DLC: 2 Data: 0E A6 
[16:57:04] TX ID: 0x102 DLC: 2 Data: 19 58 
[16:57:04] TX ID: 0x201 DLC: 2 Data: 00 00 
[16:57:04] TX ID: 0x101 DLC: 2 Data: 0E D8 
[16:57:04] TX ID: 0x102 DLC: 2 Data: 1A 5A 
[16:57:04] TX ID: 0x101 DLC: 2 Data: 0F 0A 
[16:57:04] TX ID: 0x102 DLC: 2 Data: 1A 5B 
[16:57:04] TX ID: 0x201 DLC: 2 Data: 00 00 
[16:57:04] TX ID: 0x101 DLC: 2 Data: 0F 3C 
[16:57:04] TX ID: 0x102 DLC: 2 Data: 1A 5D 
[16:57:04] TX ID: 0x101 DLC: 2 Data: 0F 6E 
[16:57:04] TX ID: 0x102 DLC: 2 Data: 1A 5E 
[16:57:04] TX ID: 0x201 DLC: 2 Data: 00 00 
[16:57:04] TX ID: 0x101 DLC: 2 Data: 0F A0 
[16:57:04] TX ID: 0x102 DLC: 2 Data: 1A 60 
[16:57:04] TX ID: 0x101 DLC: 2 Data: 0F D2 
[16:57:04] TX ID: 0x102 DLC: 2 Data: 1A 61 
[16:57:04] TX ID: 0x201 DLC: 2 Data: 00 00 
[16:57:04] TX ID: 0x101 DLC: 2 Data: 10 04 
[16:57:04] TX ID: 0x102 DLC: 2 Data: 1A 63 
[16:57:04] TX ID: 0x101 DLC: 2 Data: 10 36 
[16:57:04] TX ID: 0x102 DLC: 2 Data: 1A 64 
[16:57:04] TX ID: 0x201 DLC: 2 Data: 00 00 
[16:57:05] TX ID: 0x101 DLC: 2 Data: 10 68 
[16:57:05] TX ID: 0x102 DLC: 2 Data: 1A 64 
[16:57:05] TX ID: 0x201 DLC: 2 Data: 00 00 
[16:57:05] TX ID: 0x101 DLC: 2 Data: 10 9A 
[16:57:05] TX ID: 0x102 DLC: 2 Data: 1A 64 
[16:57:05] TX ID: 0x101 DLC: 2 Data: 10 CC 
[16:57:05] TX ID: 0x102 DLC: 2 Data: 1B 64 
[16:57:05] TX ID: 0x201 DLC: 2 Data: 00 00 
[16:57:05] TX ID: 0x101 DLC: 2 Data: 10 FE 
[16:57:05] TX ID: 0x102 DLC: 2 Data: 1B 64 
[16:57:05] TX ID: 0x101 DLC: 2 Data: 11 30 
[16:57:05] TX ID: 0x102 DLC: 2 Data: 1B 64 
[16:57:05] TX ID: 0x201 DLC: 2 Data: 00 00 
[16:57:05] TX ID: 0x101 DLC: 2 Data: 11 62 
[16:57:05] TX ID: 0x102 DLC: 2 Data: 1B 64 
[16:57:05] TX ID: 0x101 DLC: 2 Data: 11 94 
[16:57:05] TX ID: 0x102 DLC: 2 Data: 1B 64 
[16:57:05] TX ID: 0x201 DLC: 2 Data: 00 00 
[16:57:05] TX ID: 0x101 DLC: 2 Data: 11 C6 
[16:57:05] TX ID: 0x102 DLC: 2 Data: 1B 64 
[16:57:05] TX ID: 0x101 DLC: 2 Data: 11 F8 
[16:57:05] TX ID: 0x102 DLC: 2 Data: 1B 64 
[16:57:06] TX ID: 0x201 DLC: 2 Data: 00 00 
[16:57:06] TX ID: 0x101 DLC: 2 Data: 12 2A 
[16:57:06] TX ID: 0x102 DLC: 2 Data: 1B 64 
[16:57:06] TX ID: 0x101 DLC: 2 Data: 12 5C 
[16:57:06] TX ID: 0x102 DLC: 2 Data: 1B 64 
[16:57:06] TX ID: 0x201 DLC: 2 Data: 00 00 
[16:57:06] TX ID: 0x101 DLC: 2 Data: 12 8E 
[16:57:06] TX ID: 0x102 DLC: 2 Data: 1B 64 
[16:57:06] TX ID: 0x201 DLC: 2 Data: 00 00 
[16:57:06] TX ID: 0x101 DLC: 2 Data: 12 C0 
[16:57:06] TX ID: 0x102 DLC: 2 Data: 1C 64 
[16:57:06] TX ID: 0x101 DLC: 2 Data: 12 F2 
[16:57:06] TX ID: 0x102 DLC: 2 Data: 1C 64 
[16:57:06] TX ID: 0x201 DLC: 2 Data: 00 00 
[16:57:06] TX ID: 0x101 DLC: 2 Data: 13 24 
[16:57:06] TX ID: 0x102 DLC: 2 Data: 1C 64 
[16:57:06] TX ID: 0x101 DLC: 2 Data: 13 56 
[16:57:06] TX ID: 0x102 DLC: 2 Data: 1C 64 
[16:57:06] TX ID: 0x201 DLC: 2 Data: 00 00 
[16:57:06] TX ID: 0x101 DLC: 2 Data: 13 88 
[16:57:06] TX ID: 0x102 DLC: 2 Data: 1C 64 
[16:57:06] TX ID: 0x101 DLC: 2 Data: 13 BA 
[16:57:06] TX ID: 0x102 DLC: 2 Data: 1C 64 
[16:57:07] TX ID: 0x201 DLC: 2 Data: 00 00 
[16:57:07] TX ID: 0x101 DLC: 2 Data: 13 EC 
[16:57:07] TX ID: 0x102 DLC: 2 Data: 1C 64 
[16:57:07] TX ID: 0x101 DLC: 2 Data: 14 1E 
[16:57:07] TX ID: 0x102 DLC: 2 Data: 1C 64 
[16:57:07] TX ID: 0x201 DLC: 2 Data: 00 00 
